date,lat,lon,sst_celsius,lss_class
2025-07-17,30.4400,122.0600,28.18,1
2025-07-17,30.4400,122.0700,28.13,1
2025-07-17,30.4400,122.0800,28.06,1
2025-07-17,30.4500,122.0300,28.34,1
2025-07-17,30.4500,122.0400,28.30,1
2025-07-17,30.4500,122.0500,28.24,1
2025-07-17,30.4500,122.0600,28.20,1
2025-07-17,30.4500,122.0700,28.16,1
2025-07-17,30.4500,122.0800,28.08,1
2025-07-17,30.4500,122.0900,28.02,1
2025-07-17,30.4600,122.0300,28.34,1
2025-07-17,30.4600,122.0400,28.33,1
2025-07-17,30.4600,122.0500,28.25,1
2025-07-17,30.4600,122.0600,28.21,1
2025-07-17,30.4600,122.0700,28.16,1
2025-07-17,30.4600,122.0800,28.08,1
2025-07-17,30.4600,122.0900,28.02,1
2025-07-17,30.4700,122.0400,28.35,1
2025-07-17,30.4700,122.0500,28.27,1
2025-07-17,30.4700,122.0600,28.25,1
2025-07-17,30.4700,122.0700,28.21,1
2025-07-17,30.4700,122.0800,28.13,1
2025-07-17,30.4700,122.0900,28.07,1
2025-07-17,30.4800,121.0200,30.33,1
2025-07-17,30.4800,122.0900,28.11,1
2025-07-17,30.4800,122.1000,28.05,1
2025-07-17,30.4900,121.0200,30.26,1
2025-07-17,30.4900,122.0900,28.11,1
2025-07-17,30.4900,122.1000,28.05,1
2025-07-17,30.5000,121.0200,30.21,1
2025-07-17,30.5000,121.4100,30.44,1
2025-07-17,30.5000,122.0500,28.33,1
2025-07-17,30.5000,122.0600,28.30,1
2025-07-17,30.5000,122.0700,28.24,1
2025-07-17,30.5000,122.0900,28.14,1
2025-07-17,30.5000,122.1000,28.08,1
2025-07-17,30.5100,121.2600,30.57,1
2025-07-17,30.5100,121.2700,30.57,1
2025-07-17,30.5100,121.4100,30.48,1
2025-07-17,30.5100,121.4200,30.44,1
2025-07-17,30.5100,122.0600,28.31,1
2025-07-17,30.5100,122.0700,28.25,1
2025-07-17,30.5100,122.0900,28.14,1
2025-07-17,30.5100,122.1000,28.08,1
2025-07-17,30.5200,121.2500,30.54,1
2025-07-17,30.5200,121.2600,30.58,1
2025-07-17,30.5200,121.2700,30.59,1
2025-07-17,30.5200,121.4200,30.54,1
2025-07-17,30.5200,121.4300,30.47,1
2025-07-17,30.5200,122.0700,28.24,1
2025-07-17,30.5200,122.0900,28.15,1
2025-07-17,30.5200,122.1000,28.09,1
2025-07-17,30.5300,121.2600,30.59,1
2025-07-17,30.5300,121.2700,30.59,1
2025-07-17,30.5300,121.2800,30.62,1
2025-07-17,30.5300,121.2900,30.65,1
2025-07-17,30.5300,121.3000,30.61,1
2025-07-17,30.5300,121.4800,30.05,1
2025-07-17,30.5300,122.1000,28.07,1
2025-07-17,30.5400,121.2700,30.60,1
2025-07-17,30.5400,121.2900,30.66,1
2025-07-17,30.5400,121.3000,30.63,1
2025-07-17,30.5400,121.3100,30.65,1
2025-07-17,30.5400,122.1000,28.07,1
2025-07-17,30.5500,121.2800,30.62,1
2025-07-17,30.5500,121.2900,30.65,1
2025-07-17,30.5500,121.3100,30.65,1
2025-07-17,30.5500,121.3200,30.66,1
2025-07-17,30.5500,121.3300,30.63,1
2025-07-17,30.5500,121.3400,30.62,1
2025-07-17,30.5600,121.3100,30.65,1
2025-07-17,30.5600,121.3200,30.63,1
2025-07-17,30.5600,121.3300,30.59,1
2025-07-17,30.5600,121.3400,30.57,1
2025-07-17,30.5700,121.3000,30.60,1
2025-07-17,30.5700,121.3100,30.61,1
